Topic,Question,Organization,Answers,Source
MONITORING AND PARENTAL CONTROLS, I have heard of a variety of programs that can be used to monitor for and block sensitive content online. One example is Bark. Are these types of programs recommended? Is one better than another? Are there any risks to using these apps as another line of defense against inappropriate content online?,AAP,"Based on existing research, we recommend alternatives to parental control apps, like online safety plans that rely on parenting strategies that promote better teen self-regulation, incorporate family input in the rule-setting process and facilitate learning.

Teens should ideally be learning how to make responsible decisions on their own about the content they interact with online, and relying on restrictive rules or monitoring technologies makes it harder for them to problem-solve and develop the autonomy they need to navigate digital technology in ways that support their development.

It is understandable that parents want to limit the risks posed to their children when online. One way to do this is to create guidelines and household rules for technology use that can decrease the amount of time adolescents spend online and provide them with strategies for what to do when they come across risky content, but that does not seem to decrease children’s exposure to online risks.

Unfortunately, existing parental control apps do not support the developmental process of adolescents because they often fail to balance parental values and desires with their children’s own values, needs, and wants. Consider that 89% of features on parental online safety apps are targeted specifically toward parental control, while only 11% of features on these apps support some form of teen self-regulation.

What Parents Can Do
Read more about the topic.
How do I monitor my kids' cell phone use without seeming intrusive? and Why the Best Parental Control Is You demonstrate why it's important to be transparent with adolescents about implementing monitoring apps. Communication is key when it comes to technology and adolescents; down the line this will teach adolescents how to make responsible decisions on their own.    
Have open, transparent communication about adolescent Internet-use and family expectations.
Children are more likely to follow rules when they have the opportunity to provide input and discuss their concerns about online safety.
Close relationships between parents and their children are associated with fewer online risk-taking behaviors in adolescents.
Let them know that “the internet is a really big place, and sometimes you can run into gross, mean, upsetting or sexual content – if this happens, you can always come talk to me about it, and you won’t be in trouble.”
Create a family online safety plan.
The Family Media Plan tool contains a section on Safety that can be used as a guide. Consistent with AAP recommendations, we recommend household rules focused on content, communication and co-viewing.
Talk with your child about the importance of using strong privacy settings and walk through setting up those settings on their devices together.
Discuss what steps they should take if they find inappropriate content, are contacted by strangers, or feel uncomfortable or unsafe online.
For parents who would like to use parental monitoring technology, Common Sense Media provides the Parent's Ultimate Guide to Parental Controls that displays options for monitoring and blocking content that include specific apps (like Bark, Circle, etc.), managing devices on Wi-Fi networks and editing system preferences within social media apps.
If parental controls are used, we recommend using them in combination with open communication and as a part of a family online safety plan.
 https://www.aap.org/en/work-in-progress/social-media-and-youth-mental-health-q-and-a-portal/adolescents/early-adolescence-questions/parental-controls--digital-monitoring/",https://www.aap.org/en/work-in-progress/social-media-and-youth-mental-health-q-and-a-portal/adolescents/early-adolescence-questions/parental-controls--digital-monitoring/
MONITORING AND PARENTAL CONTROLS,How do I monitor my kids' cell phone use without seeming intrusive?,Common Sense,"Parents: If you want to monitor your kid's cell phone without seeming intrusive, be honest about what you're doing and why. Explain that your rules are for their safety and protection. It's a parents' job to make sure kids are using their devices appropriately. Some parents say, ""If I'm paying for it, I'm entitled to read my kids' texts, check their call logs, and know who their friends are."" That's valid, but kids consider these devices to be as personal as diaries, so tread cautiously. Spot checks are a good idea. You know your kid best. If you sense something isn't right, spot-check more often.

Do you think it's important to monitor your kid's phone without seeming intrusive? https://www.commonsensemedia.org/articles/how-do-i-monitor-my-kids-cell-phone-use-without-seeming-intrusive",https://www.commonsensemedia.org/articles/how-do-i-monitor-my-kids-cell-phone-use-without-seeming-intrusive
MONITORING AND PARENTAL CONTROLS,How do I decide which parental controls to use?,Common Sense,"A lot of us don't think about parental controls until after something bad happens (your kid stumbles onto porn, you get into a shouting match over screen time, a group chat goes off the rails). Even if nothing has happened yet, you know it's just a matter of time. In these situations, shutting everything down (what we call the Nuclear Option) feels like the only choice. But in reality, what most of us want—and need—is simple: an extra set of eyes and ears on our kids as they venture into the online world. Still, a just-right solution can be hard to nail down. You can find it, though. Whether it's tools, talking points, or a combination of both, we'll help you figure out what tech you need—and what you don't.

Quick Take
The best parental control is you. Set clear expectations, be consistent, and talk about what your kids are doing, who they're talking to online, and how they're feeling about it.

Start with free options. Turn on Google SafeSearch, use Screen Time if you have an iPhone, use Family Link if you have Android, and look at the settings on all your devices and services to see which built-in parental controls are already available.

Parental controls are handy, but not perfect. While they can block inappropriate content, impose screen limits, and more, they can be a pain to manage, kids can get around them, and they can even damage your relationship.

Play the long game. Your ultimate goal is for your kids to learn responsibility and self-regulation, and that takes time and, sometimes, struggle.

What are all the different kinds of parental controls?
Parental controls cover a wide range of functions, from simple content filters to fee-based solutions that let you manage every device on your network. Depending on your kid's age, the type of device(s) you have, and the level of supervision you can devote to your kid's online activities, you can pick and choose the kind of coverage you need. Here are your options:

Search filters. SafeSearch in Google is a first line of defense against exposure to inappropriate content, and all parents should take this basic precaution. You can also use kid-specific browsers such as Kiddle that return only age-appropriate results.

Time limits. Most devices let you set time limits for a total amount of screen time on that device as well as time limits for individual apps. You can usually find this feature in the device's settings. Some apps, such as YouTube Kids and TikTok, offer time limits within the app's settings.

Content blockers. These prevent kids from accessing entire categories of content called ""domains,"" such as all porn sites, all gaming sites, or entertainment sites. You can find this feature in the free parental control OpenDNS and in fee-based products such as Net Nanny and Qustodio.

Download and purchasing limits. These settings prevent kids from buying games, music, apps, and other content based on age ratings or permission settings. You usually manage this in the device itself.

Social media and text monitors. These services keep an eye on what your kid is doing on social media and SMS and give you a report on their activities. They also alert you when suspicious words are used. You need your kid's social media info (log-ins and passwords) for them to work. They cost money because they're monitoring your kid's apps in real time. Bark and Qustodio are two popular social media monitoring programs.

Location trackers. Apps such as Life360 and Find My tell you where your kid is. They don't work when the phone is turned off, when it has location turned off, or when the battery is drained.

Home and mobile all-in-one solutions. Some parental controls allow you to manage everything connected to your network. First check the software that comes with your internet router (more on that below) to see if it has built-in parental controls. Otherwise, consider an easy-to-use hardware device such as Circle Home Plus or check to see whether your internet service provider (ISP) offers this service. AT&T, Comcast, and Verizon all have parental control apps.

What's the right solution for me?
Every family's needs are different. While it's important to make sure you're talking to your kid about healthy online habits, balancing their online time with offline activities, and staying attuned to potential behavior issues, sometimes you need tech support to back you up. Here are some common device-use scenarios most families face and sample tech solutions.

""My kid doesn't have a phone but uses mine sometimes, and I'm able to supervise most of their screen time.""
Make sure Google SafeSearch is enabled in all the browsers you use (as long as you're signed in, the settings will apply across all your devices).
Add limits to your own phone: If you have an iPhone, use Screen Time and especially review the settings in the Content & Privacy Restrictions and Always Allowed sections. If you have an Android phone, set up Family Link (in Settings) on your phone.
""My kid doesn't have a phone yet but wants more independence on our connected devices (tablet, laptop, desktop) and I can't supervise it all.""
Enable SafeSearch on all browsers.
Try the parental controls built into your device's operating system. Every operating system—Windows, Mac OS, Android, Fire, or Mac iOS—has some built-in parental controls, which you can find in the device's settings. Usually you can set screen time limits for days of the week, add content filters, and more. Most OSs require you to create individual user profiles for each family member in order to enable these restrictions. Your kid needs to log in to their own account for them to work.
""My kid needs to use devices for homework, and I want to block distracting stuff like YouTube, games, and social media but allow them to access what they need to for school.""
Determine whether the device's operating system has built-in parental controls that will work for your needs. If not, you may need to spend money on one of the options below.
Invest in an all-in-one parental control software package such as Net Nanny or the Circle Home Plus hardware solution. They cost extra, but could be worth it if you're struggling to keep your kid on task but don't want to block sites they need for research.
Download an app designed to keep kids focused and limit distractions, such as a timer, a goal setter, or a task manager.
""My kid won't get off their video games.""
If you have a console such as Xbox, PlayStation, or Switch, you can enable time limits and even block the game that's causing problems directly on those devices.
If your kid is playing on a PC or mobile device, you can set time limits and block access in the device's settings.
You may have parental controls in your router software that let you shut off the game console, block the game, or eliminate access to all games. Routers from Asus, Linksys, Netgear, and others have highly rated parental control options. You can access your router software on your main home computer, or Google its name and follow the instructions for setting up parental controls.
If your ISP offers online tools or an app, use it to turn off the internet for a while.
""My kid has a phone, and I want to block mature content, prevent downloads, and limit their screen time.""
Use Screen Time for iPhones or the Family Link app for Android phones.
If you want to add social media and text monitoring to their phones, consider an app such as Bark, which offers real-time activity reports and danger alerts.
""My kid sneaks their phone into their bedroom at night.""
Collect phones and charge them in your room at night.
Use Screen Time (iPhones) or Family Link (Android phones) to enable Downtime or Bedtime until the next morning.
Turn off the Wi-Fi and the data using your router software, or, literally, press the ""Off"" button on your router.
Do parental controls really work?
From a technical standpoint? Yes. But the jury is still out on whether they're really effective. The tools can be confusing to figure out and time-consuming to manage. Parental controls are kind of blunt instruments designed to solve problems with many variables. And sometimes, for seemingly no reason at all, they don't work; a software update, for example, can throw everything off. Finally, studies on parental controls indicate that they can harm the parent-kid dynamic enough to make them a complicated choice. And:

There's no proof parental controls actually protect kids. Do kids see less inappropriate material because they have parental controls enabled? No one knows.

They can erode trust. When kids feel like you don't trust them, they might shut down, stop communicating, and engage in secretive behavior.

They can give you a false sense of security. Parental controls can make you feel like you're doing your job. But kids can defeat them, which sets up an unproductive game of cat and mouse. They work best with open, honest communication to ensure your kid learns to manage their own use, make good choices, and become a productive digital citizen.

Ultimately, the best parental control is you.

A combination of modeling a healthy approach to devices, and discussing media and tech use over time, on multiple occasions, will help kids regulate themselves and build skills to carry into adulthood. When you say things like, ""Remember to think before you post,"" ""Don't talk to strangers on the internet,"" and ""Use strong privacy settings""—followed up with why it's important—they'll remember. And if you need some assistance from technology, there's no shame in that. https://www.commonsensemedia.org/articles/how-do-i-decide-which-parental-controls-to-use",https://www.commonsensemedia.org/articles/how-do-i-decide-which-parental-controls-to-use
MONITORING AND PARENTAL CONTROLS,Should I demand my kid's passwords to their social websites and apps?,Common Sense,"Here's a little secret: Having your kid's passwords does nothing to make your kid safer online. Every kid knows it's a cinch to change passwords, create a new account you don't know about, or simply block you from ever seeing anything he or she posts. Instead, work together to make sure your kids develop their own sense of responsibility, and try not to have a parent-versus-child dynamic. Have regular check-ins, review their privacy settings, see who their online friends are, and take an interest in their online activities.",https://www.commonsensemedia.org/articles/should-i-demand-my-kids-passwords-to-their-social-websites-and-apps
"SLEEPING


























",My 12-year-old complains of being tired and I’m worried that their screen time is affecting their sleep.,AAP,"Sleep is so important for your child’s development, so you’re right to be concerned. Not getting enough sleep can have a negative impact on a child’s performance at school and their mental health. It can also be associated with obesity.  The American Academy of Pediatrics recommends that children between 6 and 13 years old get 9-11 hours of sleep a night. Teens age 14-17 years should aim for 8-10 hours per night.  

Studies show that the quality and the consistency of an adolescent’s sleep is just as important to their overall health as the amount. Using a screen can affect the quality of your child’s sleep by making them more alert and raising their heart rate, especially if your child is playing an action-packed video game or watching something intense. This can make it harder for them to fall asleep. The type of light given off by screens can also disrupt the production of a sleep hormone called melatonin. Here are some tips to help your child get a good night’s sleep.",https://www.aap.org/en/patient-care/media-and-children/center-of-excellence-on-social-media-and-youth-mental-health/qa-portal/qa-portal-library/qa-portal-library-questions/screen-time-affecting-sleep/
"SLEEPING


























",How are screens affecting my kid's sleep?,Common Sense,"""Sleep is one of those things that—once we made it past diapers and naps—we thought would get easier. And for you lucky parents whose kids go to bed at the same time every night and wake up bright and cheerful: nice work. For most of us, though, sleep is an ongoing challenge, especially as kids get older.

Our kids are tired.

Despite the recommendation that kids need as much as 9 to 12 hours of sleep a night, the Centers for Disease Control (CDC) reports that 75% of teens get less than 7 hours a night. And devices definitely play a role: New research from Common Sense found a whopping 69% of teens now take their mobile devices to bed—with 29% actually sleeping with them, and 36% being awakened by notifications in the night. Screen time usually doesn't stop in the hour before bed, even though doctors recommend it. Seventy percent of teens report checking their mobile device within 30 minutes of falling asleep.

We know the dangers: Without enough sleep, kids could be more at risk for obesity, poor academic performance, unsafe behaviors like smoking or drinking, and even depression. But it's not an easy problem to solve. As kids get older, there's more homework, more extracurricular activities, and more socializing outside of school. Plus, school starts SO early.

How do screens affect sleep?

When it comes to screens and sleep, there are three main problems:

Blue light interrupts natural sleep rhythms. Blue light from the sun tells us when to wake up. The highly concentrated form emitted from screens does the same thing.
Just using a device is stimulating. Using screens in the hour before bed makes it harder to fall asleep because it keeps the brain alert when it should be winding down.
Devices have invaded the bedroom. When homework happens online and phones never leave our sides, it's increasingly difficult to keep bedrooms screen-free zones.
So what can we do to help kids get enough sleep?

Doctors call the practice of having a regular bed and wake time, along with a quiet and cool place to sleep, """"good sleep hygiene."""" These days, a healthy bedtime routine includes cutting out screens. Here are our basic recommendations:

Limit screen use before bed. Whenever possible, shut everything off—including TVs—at least an hour before bedtime.
Ban screens from bedrooms at night. Kids may fight you on this one. Especially if they've been using their phones as alarms or to listen to music before bed. Stand your ground! Bust out the old-fashioned alarm clock and boom box. Smart speakers can also be a solution.
Block the blue light. Make sure kids are using """"dark mode"""" on their devices if they absolutely must use them within an hour of sleep. Blue light blocking glasses or apps that filter it out could also be helpful.
Shut off notifications. If taking phones away at night is too much of a battle, or just impractical, make sure kids shut off their notifications at night. You can use built-in features like Apple's Screen Time or Android's Family Link to control them yourself.
Turn off the Wi-Fi. Use a Family Media Agreement to create a rule that all devices and Wi-Fi turn off at a specific hour. Internet service providers, routers, and parental control hardware like Circle Home Plus make shutting off everything easy. (Check out the Ultimate Guide to Parental Controls for more info.)
Walk the walk. Honestly, this is the hardest step. Our research shows that parents are also guilty of sleeping with their devices and being woken up by notifications. But if you ask your kid to charge their phone in the kitchen while yours stays at your bedside, it can be difficult for them to listen.
How to deal with specific situations.

Maybe you have your sleep routine down pat. Screens off. Teeth brushed. Books read. But then something comes and throws a wrench into the whole plan. We've got some tips:

Summers and holidays

Kids need a break from the pressures of school, no doubt. But staying up all night watching YouTube or playing Fortnite isn't going to do anyone any good. Try shifting bedtime an hour or two later, max, as long as they can make up the sleep in the morning.

School stress and homework

If you've got a highly motivated kid, you can remind them that sleep is actually going to help them perform better on tests. Then set devices and Wi-Fi to go off at an agreed upon hour. If they need to finish an essay, suggest they find time at lunch or study hall.

Friends are online late

When the other kids are up late on a group chat or playing video games, it makes it doubly difficult to pry your kid off the device. Our best advice is to talk to other parents and suggest a cut-off time for games or texts.

Friend drama

Kids use their devices to bond with friends—just like we used the telephone when we were young. But putting a stop to communication can be a relief for kids embroiled in social dramas. Be flexible enough that if it seems like a friend truly needs support, you'll allow an extra 30 minutes of chat time (encourage a phone call or FaceTime for deeper empathy).

Obsessed with game/app

A new game or app (Fortnite, anyone?) that demands lots of playtime to level up can make kids want to play for hours—even past their bedtime. Some kids wait for parents to go to sleep and then jump on the Xbox. Hide the controllers or use parental controls to shut off Wi-Fi or devices.

Anxiety/depression

Kids who are suffering with mental health issues can find lots of support online. But research is very clear that a lack of sleep makes anxiety and depression worse. So give kids time online (and in real life!) to connect with friends and access resources, but protect the sleep of vulnerable kids with extra vigilance. https://www.commonsensemedia.org/articles/how-are-screens-affecting-my-kids-sleep""",https://www.commonsensemedia.org/articles/how-are-screens-affecting-my-kids-sleep
"SLEEPING


























",How do screens -- such as TV and smartphones -- affect my kids’ sleep?,Common Sense,"While the connection between poor sleep and bedroom TVs is well-established, the effect of small screens -- smartphones, iPods, tablets, or other small-screen devices -- on kids' sleep hasn't been studied until recently. A report released in 2017 by the American Academy of Pediatrics suggests that they're just as worrisome – but for different reasons than TVs.

Television's glare and audio volume obviously robs kids of sleep, but a small screen can inhibit sleep in other ways: by occupying kids when they should be sleeping, keeping their brains and bodies alert with interactivity, throwing off their natural sleep rhythm, and interrupting sleep with notifications. In the study, kids reported not sleeping as well and feeling as though they didn't get enough rest when they snoozed near a small screen.

A lot of attention has been paid to the issue of blue light -- the high-energy, short-wavelength light that's present in sunlight but hyper-concentrated in device displays. Blue light interferes with our natural sleep rhythms and researchers are examining how much device use late at night impacts kids' sleep due to blue light specifically. Some say a lot, some say a little. But most experts agree that regardless of the blue light, devices cause sleep disruption just by being present in the room where you're trying to sleep.

Evidence is mounting that a longer duration of sleep is actually more important for teens than little kids, due to the physical and cognitive growth spurts in this phase of development. Staying up too late can make kids cranky -- but there are real health risks, too. Obesity, poor school performance, even behavioral problems can stem from inadequate sleep. Parents of tweens and teens need to really double down on making sure everyone is getting enough sleep -- and that often means grappling with device use, which keeps everyone up later. Unfortunately, even though we know we should stricter about kids' device use and our own and maintaining consistent, device-free, bedtime routines, we're slacking. If you're not familiar with the recommended daily amount of sleep for each age, it's sobering to read the American Academy of Pediatrics' guidelines.

Having good ""sleep hygiene"" is critical to overall well-being, and it's something parents should do their best to model . It's not always possible to clear the bedroom of all screens -- but instruct your kids to turn them off, download apps that disable the device at bedtime, and charge devices in your room at night to help your kids get the rest they need. And of course, make sure you're getting the sleep you need, too. Your kids will pick up on your habits (and you'll rest better, too). https://www.commonsensemedia.org/articles/how-do-screens-such-as-tv-and-smartphones-affect-my-kids-sleep",https://www.commonsensemedia.org/articles/how-do-screens-such-as-tv-and-smartphones-affect-my-kids-sleep
"SLEEPING


























",Teens and Sleep: What parents don't know about sleep,Ask Lisa,"Technology use, especially in the evening, can delay the time when teens feel sleepy due to the blue light emitted by screens, which affects melatonin production. Melatonin is the hormone responsible for regulating sleep-wake cycles, and its delayed release can push back sleep onset times for teens.

Activities on electronic devices, such as social media interaction, playing video games, or texting, are engaging and stimulating. This can make it harder for teens to wind down and transition into sleep mode.

They recommend that teens disengage from electronic devices at least one hour before bedtime. This helps in reducing blue light exposure and decreases stimulation from interactive activities.

Instead of screen-based activities, they suggest other calming activities such as reading a physical book, listening to a podcast (without looking at a screen), or engaging in relaxation exercises like yoga or meditation.

For teens who might need to use devices late in the evening, it is suggested to use features like night shift modes on devices, which adjust the screen to emit warmer light, or to use blue light blocking glasses. These measures can help mitigate some of the negative impacts of blue light on sleep.",https://drlisadamour.com/resource/teens-and-sleep-with-journalist-author-lisa-l-lewis/
"SLEEPING


























",General guideline: Social Media and Youth Mental Health The U.S. Surgeon General’s Advisory,Surgeon General report,"Excessive and problematic social media use, such as compulsive or
uncontrollable use, has been linked to sleep problems, attention problems,
and feelings of exclusion among adolescents. Sleep is essential for
the healthy development of adolescents. A systematic review of 42 studies
on the effects of excessive social media use found a consistent relationship
between social media use and poor sleep quality, reduced sleep duration,
sleep difficulties, and depression among youth. Poor sleep has been linked to
altered neurological development in adolescent brains, depressive symptoms,
and suicidal thoughts and behaviors. On a typical weekday, nearly 1-in-3
adolescents report using screen media until midnight or later. While screen
media use encompasses various digital activities, social media applications are
the most commonly used applications by adolescents.58",https://www.hhs.gov/sites/default/files/sg-youth-mental-health-social-media-advisory.pdf
"SLEEPING


























",General guideline: Health advisory on social media use in adolescence,APA,"Research recommends adolescents get at least eight hours of sleep each night32 and maintain regular sleep-wake schedules. Data indicate that technology use particularly within one hour of bedtime, and social media use in particular, is associated with sleep disruptions.33,34 Insufficient sleep is associated with disruptions to neurological development in adolescent brains, teens’ emotional functioning,35,36 and risk for suicide.37,38

Adolescents’ social media use also should not interfere with or reduce adolescents’ opportunities for physical activity and exercise.39 Research demonstrates that physical activity is essential for both physical and psychological health (i.e., lower rates of depression).40","https://www.apa.org/topics/social-media-internet/health-advisory-adolescent-social-media-use#:~:text=Data%20indicate%20that%20technology%20use,is%20associated%20with%20sleep%20disruptions.&text=Insufficient%20sleep%20is%20associated%20with,36%20and%20risk%20for%20suicide."
